name,description,longDescription,category,logoColor,websiteURL,githubURL,docsURL
React,"JavaScript library for building user interfaces with component-based architecture","A JavaScript library for building user interfaces, developed and maintained by Facebook. React enables developers to build reusable UI components and manage state efficiently, making it ideal for creating interactive frontends for AI applications. Its component-based architecture and virtual DOM provide performance and maintainability benefits.",applications,#61DAFB,https://reactjs.org,https://github.com/facebook/react,https://react.dev/learn
Kubernetes,"Container orchestration platform for automated deployment, scaling, and management of containerized applications","The de facto standard platform for container orchestration, providing automated deployment, scaling, self-healing, and management of containerized applications. Kubernetes abstracts away infrastructure complexity and forms the foundation for many cloud-native AI platforms.",infrastructure,#326CE5,https://kubernetes.io,https://github.com/kubernetes/kubernetes,https://kubernetes.io/docs/home/
Terraform,"Infrastructure as Code tool for building, changing, and versioning infrastructure safely and efficiently","An open-source infrastructure as code software tool that enables developers to use a declarative configuration language to provision and manage cloud infrastructure, on-premises resources, and third-party services. Terraform allows teams to define infrastructure configurations that can be versioned, reused, and shared.",infrastructure,#7B42BC,https://www.terraform.io,https://github.com/hashicorp/terraform,https://developer.hashicorp.com/terraform/docs
Docker,"Platform for developing, shipping, and running applications in containers","A platform for building, shipping, and running applications in containers. Docker packages applications with their dependencies into standardized units called containers, which can run consistently across different environments, enabling simplified deployment and scaling of applications.",infrastructure,#2496ED,https://www.docker.com,https://github.com/docker,https://docs.docker.com
PyTorch,Open source machine learning framework for deep learning with dynamic computation graph,"A flexible deep learning framework with a dynamic computation graph that enables intuitive model development. PyTorch provides GPU acceleration, distributed training capabilities, and a rich ecosystem of tools and libraries for research and production AI applications.",modeldevelopment,#EE4C2C,https://pytorch.org,https://github.com/pytorch/pytorch,https://pytorch.org/docs/stable/index.html
LangChain,"Framework for developing applications powered by language models with integrated components for RAG, agents, and memory","A framework for building applications with large language models (LLMs) that provides components for retrieval augmented generation (RAG), agents, chains, memory systems, and tools integration. LangChain enables developers to create complex, stateful, and context-aware LLM applications.",llmops,#13C296,https://www.langchain.com,https://github.com/langchain-ai/langchain,https://python.langchain.com/docs/get_started/introduction
Milvus,Open-source vector database for similarity search and AI applications supporting billions of high-dimensional vectors,"A cloud-native vector database designed for storing, indexing, and retrieving embeddings and feature vectors at scale. Milvus offers efficient similarity search capabilities, multiple index types, and integrations with ML frameworks, making it ideal for recommendation systems, image retrieval, and semantic search applications.",featurestore,#4FC08D,https://milvus.io,https://github.com/milvus-io/milvus,https://milvus.io/docs
MLflow,"Platform for ML lifecycle management including experiment tracking, model deployment, and registry","An open-source platform for managing the complete machine learning lifecycle, from experiment tracking and model packaging to deployment and registry. MLflow provides tools for reproducibility, collaboration, and model governance across diverse ML environments and frameworks.",mlops,#0194E2,https://mlflow.org,https://github.com/mlflow/mlflow,https://mlflow.org/docs/latest/index.html
Apache Airflow,"Platform to programmatically author, schedule, and monitor workflows and data pipelines","A workflow orchestration platform that enables programmatic authoring, scheduling, and monitoring of complex data pipelines. Airflow uses Python to define workflows as directed acyclic graphs (DAGs), providing scheduling, retry logic, monitoring, and integrations with many data systems and cloud providers.",mlops,#017BBE,https://airflow.apache.org,https://github.com/apache/airflow,https://airflow.apache.org/docs/
Hugging Face,"Platform for machine learning with transformers, models, datasets, and community collaboration","A comprehensive platform for machine learning that includes the Transformers library, pre-trained models, datasets, and tools for training, fine-tuning, and deploying AI models. Hugging Face provides both open-source libraries and managed services for model hosting, with a strong focus on community-driven development and sharing.",modeldevelopment,#FFBD59,https://huggingface.co,https://github.com/huggingface,https://huggingface.co/docs
